@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-27,30-38,40,43,48-49,52-67,70-77,79-101'

@attribute pctWhite numeric
@attribute persPoverty numeric
@attribute pctPoverty numeric
@attribute pctMaleDivorc numeric
@attribute pctFemDivorc numeric
@attribute pctAllDivorc numeric
@attribute pct2Par numeric
@attribute pctKids2Par numeric
@attribute pctKids-4w2Par numeric
@attribute pct12-17w2Par numeric
@attribute kidsBornNevrMarr numeric
@attribute pctKidsBornNevrMarr numeric
@attribute pctPersOwnOccup numeric
@attribute pctPopDenseHous numeric
@attribute pctHousWOphone numeric
@attribute Class {0,1}

@data
97.85,400,4.1,6.8,9.36,8.13,82.96,81.18,94.84,80.72,79,1.08,80.67,1.39,0,1
82.64,21272,8.21,10.73,14.79,12.77,78.19,75.99,87.64,76.69,2898,1.89,58,4.95,5.5,0
98.04,929,3.86,7.23,10.55,8.96,78.71,80.02,89.04,82,293,1.54,79.92,1.45,0.42,1
85.19,2011,12.84,11.25,15.57,13.66,65.15,60.5,73.75,76.68,572,4.44,59.44,2.16,6.75,0
79.09,9442,15.87,12.78,15.54,14.32,61.77,56.96,71.49,64.54,2336,4.71,60.24,1.56,4.94,0
95.98,2640,17.35,11.46,17.16,14.49,64.16,65.55,80.62,60.65,175,1.66,56.82,1.88,4.35,0
88.15,3536,3.56,9.05,12.8,10.93,81.88,77.77,89.95,84.23,1209,1.82,77.5,5.51,0.58,1
73.14,4100,13.62,10.67,15.89,13.28,70.11,64.4,80.13,75.47,936,4.26,45.39,17.83,3.49,0
92.35,3498,10.79,14.78,19.63,17.29,64.76,63.26,74.62,70.26,737,2.98,50.8,4.24,4.46,0
43.04,14189,33.31,16.46,19.03,17.91,38.93,32.08,42.31,40.72,4657,12.16,43.88,5.37,12.67,0
29.6,96278,16.87,13.67,16.18,15.03,41.96,33.58,52.23,44.32,70523,18.2,42.91,8.25,4.22,0
92.17,2356,9.99,6.85,9.04,8.02,73.97,72.37,75.26,78.52,424,2.24,83.28,0.79,1.07,1
70.56,80369,17.93,11.1,16.11,13.62,68.53,64.23,78.72,67.33,12068,4.49,45.91,6.76,7.47,0
58.93,4493,28.22,11.36,14.09,12.74,67.21,58.91,66.44,69.57,824,5.48,62.03,17.88,14.52,0
52.39,2984,28.83,11.43,16.33,14.15,54.36,48.15,59.97,55.33,736,7.52,61.85,4.71,13.5,0
73.19,3515,26.19,11.31,16.08,13.88,59.2,52.31,51.2,67.88,930,7.61,51.23,4.96,15.46,0
82.13,2338,13.67,13.36,17.64,15.55,71.45,65.75,80.85,70.67,321,2.38,59.2,9.98,9.86,0
39.1,156284,21.87,14.08,16.97,15.65,43.59,35.52,49.34,46.07,88370,15.29,50.33,4.59,7.8,0
69.05,3406,16.86,10.78,14.06,12.51,65.94,62.07,71.03,78.93,722,3.86,59.68,12,6.94,0
67.07,3032,14.36,12.45,16.41,14.45,68.07,61.36,71.67,68.96,553,3.2,53.65,9.85,10.08,0
68.08,2283,16.42,12.66,16.12,14.47,61.62,51.77,62.34,67.42,719,5.45,66.41,6.68,11.64,0
53.95,54669,26.17,10.33,14.14,12.37,58.08,51.66,66.25,58.25,16228,9.92,56.7,5.33,5.96,0
98.91,438,3.86,9.56,11.12,10.4,80.75,80.47,88.25,92.56,71,0.71,80.83,0.5,0.11,1
72.97,10148,16.08,11.16,14.39,12.82,73.6,68.81,79.88,74.89,1295,2.74,58.18,9.25,10.04,0
78.59,5516,5.47,8.73,12.75,10.78,81.2,78.76,90.33,81.6,1093,1.69,74.1,5.5,1.28,1
49.09,5075,12.77,9.17,15.17,12.51,62.38,57.48,81.39,63.29,2127,7.71,65.16,2.07,1.67,0
89.52,1322,12.53,9.65,12.34,11.16,63.45,64.25,70.11,66.94,232,2.99,62.28,0.65,1.91,1
81.81,5970,17.55,11.16,14.82,13.15,62.21,58.26,60.07,60.64,2124,7.11,61.84,2.41,8.13,0
89.16,2855,29.99,7.51,11.64,9.73,58.59,55.2,66.51,79.17,402,4.7,58.13,2.94,7.45,0
42.17,15348,18.05,13.46,16.26,14.92,47.36,39.24,54.34,50.03,9993,14.64,53.46,7.97,10.69,0
7.26,7370,58,16.82,20.16,18.77,23.22,19.24,8.7,20.2,3539,27.35,37.77,8.63,23.88,0
97.18,11907,15.22,8.61,10.41,9.61,70.47,68.06,76.85,74.45,1467,2.25,59.12,1.18,2.71,1
41.41,9790,29.7,12.75,15.78,14.46,52.44,43.42,58.75,51.46,3597,10.7,60.05,5.06,7.18,0
97.62,730,4.34,7.48,8.57,8.04,85.61,84.22,96.69,85.52,51,0.43,74.36,0.81,1.33,1
98.49,2273,11.47,8.66,11.48,10.2,70.92,69.46,72.84,75.64,398,2.44,53.41,1.46,4.98,0
91.94,10291,19.98,11.37,13.93,12.76,62.93,61.71,67.84,71.37,1420,3.48,48.99,1.37,7.18,0
35.96,64572,24.82,13.53,17.45,15.71,52.09,44.48,64.74,54.45,19512,9.04,56.3,3.97,6.13,0
97.15,2031,5.23,8.94,11.75,10.35,81.1,80.15,88.9,78.83,439,1.71,91.59,2.46,0.52,0
60.06,5617,25.55,10.66,12.94,11.87,66.43,60.16,69.5,68.52,1933,9.97,46.34,5.29,11.28,0
64.8,5186,36.8,12.22,15.55,14.12,54.32,47.55,52.13,61.43,947,6.93,64.57,3.94,12.25,0
96.04,1066,3.26,8.47,11.89,10.26,84.25,84.49,94.21,80.36,234,1.09,78.52,1.25,0.57,1
94.67,443,3.63,10.17,14.44,12.42,78.76,79.29,96.03,76.55,85,0.94,71.3,2.03,0.93,0
92.53,14393,18.96,8.48,13.02,10.73,71.57,71.57,84.19,67.05,658,1.83,50.35,2.29,1.64,0
77.74,4367,9.59,9.4,12.08,10.86,65.86,58.86,76.65,67.77,1833,4.87,74.16,4.84,2.71,0
97.8,2500,21.03,10.06,13.96,12.26,62.29,62.04,67.52,60.57,326,2.77,61.09,2.33,6.43,0
72.5,4553,24.31,8.92,12.86,10.98,68.15,63.46,73.53,74.49,952,5.49,49.89,20.79,8.46,0
86.96,1160,3.55,8.96,12.71,10.85,82.69,79.27,90.91,83.82,266,1.23,68.99,5.15,1.28,0
72.2,1803,17.24,6.81,9.95,8.53,67.85,63.25,76.55,74.2,503,5.49,61.34,5.01,10.34,0
58.54,23463,17.07,10.69,14.3,12.62,53.59,46.99,57.79,55.71,12723,12.01,45.05,6.74,8.66,0
94.66,513,2.98,8.98,12.32,10.75,78.93,77.52,90.19,77.24,149,1.12,76.54,1.07,0.52,0
73.69,2689,23.02,9.2,11.64,10.51,75.23,70.05,77.81,67.66,200,1.79,65.95,6.25,13.7,0
90.94,2031,7.07,8.41,11.8,10.19,69.08,68.12,75.23,69.82,924,4.18,74.3,2.26,0.73,0
84.77,42594,43.86,6.4,12.22,9.56,70.02,62.55,78.54,73.11,3856,4.28,58.3,28.68,16.97,0
96.46,448,2.54,4.51,8.47,6.62,87.79,88.34,95,87.33,73,0.54,82.78,0.4,0.52,1
40.93,4142,26.25,15.41,19.74,17.86,45.55,36.96,45.88,53.4,1461,9.92,48.94,6.27,12.34,0
31.36,5857,21.26,5.55,10.44,7.89,71.08,65.51,78.69,79.98,1748,8.9,32.13,59.01,8.93,1
70.89,5468,8.03,10.11,14.02,12.08,74.82,69.09,81.04,81.02,1399,2.77,56.56,14.13,1.68,0
64.75,81601,25.62,11.35,14.3,12.96,49.18,47.75,55.85,51.55,26762,10.52,47.48,2.14,9.08,0
95.28,2749,12.8,15.44,15.78,15.61,70,63.4,81.57,77.81,179,0.97,58.92,4.62,15.04,0
98.39,729,4.8,6.27,9.23,7.83,85.14,84.48,94.07,87.66,69,0.61,85.57,0.88,0.18,1
98.43,1525,15.52,11.02,15.71,13.6,66.2,66.63,68.62,75.47,141,1.57,65.66,1.77,5.82,0
91.56,2852,6.99,10.75,14.3,12.51,78.58,76.82,92.26,70.8,309,1.15,59.8,5.2,1.17,1
96.62,1294,21.14,3.31,6.18,4.68,71.94,69.72,84.16,77.93,178,4.24,54.38,3.06,1.88,1
75.28,8794,10.7,7.59,11.31,9.51,63.59,60.94,78.17,61.21,2504,5.54,33.22,4.15,1.53,0
54.82,2437,21.96,13.37,16.03,14.88,44.35,37.48,52.49,40.76,1342,13.88,44.77,2.45,14.71,0
93.23,8325,11.92,10.82,14.91,12.96,68.46,66,76.21,73.52,1909,3.36,70.31,3.17,2.6,0
80.67,17864,21.86,13.04,16.69,15.06,60.64,56.99,63.43,65.15,3743,5.23,60.01,1.56,7.08,0
90.21,5685,18.04,8.39,11.02,9.82,74.17,70.44,76.83,78.74,866,3.44,62.82,1.54,6.91,0
78.47,3392,29.43,8.26,10.76,9.6,64.9,65.5,81.65,71.09,345,8.12,28.37,1.56,3.19,0
98.35,709,5.71,7.21,8.06,7.66,83.99,79.52,94.72,78.26,45,0.47,87.71,0.69,0.3,1
81.33,1745,14.89,11.83,14.14,13.09,68.13,62.89,71.28,63.83,413,3.99,60.22,2.9,10.71,0
97.85,238,1.93,3.25,4.27,3.77,90.21,87.49,99.03,89.48,27,0.26,96.59,0.37,0.13,1
93.77,1173,6.25,12.72,17.3,15.1,73.81,69.58,87.11,76.67,139,1.03,65.77,2.82,1.81,0
98.23,874,4.1,7.42,8.68,8.06,84.45,82.29,96.98,83.25,116,0.75,87.71,1.29,1.41,1
96.41,1946,16.3,14.07,17.36,15.85,66.23,63.71,73.44,69.32,180,1.67,58.34,3.53,6.77,0
77.95,4007,15.5,9.64,14.35,12.08,76.84,72.93,81.04,80.24,443,2.19,64,10.72,1.08,0
75.76,2169,20.96,10.66,13.25,12.08,65.54,57.86,74.84,64.16,579,6.18,65.35,2.27,8.74,1
57.23,16227,21.61,9.55,13.42,11.62,59.31,51.85,67.62,61.32,6087,10.52,52.01,4.15,5.06,0
84.1,10560,18.77,11.93,15.13,13.72,63.92,61.37,68.47,68.53,2249,4.78,60.01,1.07,8.29,0
65.61,42312,10.83,11.21,15.05,13.26,67.14,62.84,77.44,68.57,18018,6.75,58.65,3.33,4.28,0
84.99,829,6.51,8.74,14.78,12.09,70.45,73.04,81.56,83.12,279,3.68,52.19,1.17,1.58,0
78.28,1763,17.18,9.72,12.76,11.41,69.47,64.99,83.69,71.41,324,3.79,59.31,2.28,9.99,0
32,10092,25.16,13.22,15.42,14.44,40.76,34.16,52.22,44.5,6192,17.78,55.04,5.91,8.36,0
96.78,2140,4.6,6.97,9.39,8.24,81.23,78.97,92.45,83.72,812,2.35,76.12,1.33,1.25,1
91.28,3252,5.08,8.16,12.53,10.53,80.41,78.9,89.94,80.27,835,1.81,78.44,2.95,0.33,1
91.25,4250,19.84,12.03,15.81,14.14,66.7,65.23,68.57,74.26,494,2.55,61.54,1.47,8.57,0
94.74,340,2.35,5.73,11.09,8.64,82.5,82.05,94.94,78,86,0.74,85.62,0.43,0.18,1
95.48,2028,8.87,8.68,11.02,9.93,76.05,74.35,89.3,80.58,276,1.63,61.53,1.34,2.28,1
23.96,5261,17.8,12.6,16.62,14.8,49.48,44.05,67.57,49.13,2747,12.66,34.25,8.77,7.31,0
95.24,1782,9.3,12.44,16.64,14.76,70.62,68.29,80.12,76.77,217,1.38,62.43,1.47,4.18,0
91.05,2595,22.15,16.84,18.56,17.75,55.92,50.72,48.36,80.37,257,2.34,62.24,6.51,10.41,0
98.68,621,2.93,5.88,6.95,6.42,90.14,88.77,97.47,86.38,82,0.66,91.4,1.28,0.16,1
88.49,3244,14.9,8.99,11.97,10.6,78.2,73.49,87.05,86.54,367,2.06,67.14,4.65,11.5,0
49.49,142217,28.67,14.82,17.9,16.49,47.21,41.5,51.6,49.78,50152,12.2,51.24,2.89,8.97,0
99.53,936,9.05,7.18,7.34,7.27,81.85,79.19,96.74,81.49,79,0.94,78.87,0.72,1.38,1
21.07,4671,23.37,15.68,21.42,18.77,43.05,39.39,51.28,40.64,2302,17.6,21.97,8.75,9.51,0
85.63,30995,11.05,11.2,15.71,13.53,74.43,72.43,82.36,75.17,4471,2.29,58.29,2.92,4.06,0
58.22,6194,15.59,11.82,16.1,14,67.71,62.92,75.42,74.43,1726,6.06,55.57,15.68,6.25,0
97.64,1994,9.5,7.59,11.64,9.84,65.23,66.79,73.51,65.78,328,1.81,72.67,1.09,1.07,1
53.67,16652,21.17,11.07,13.34,12.24,56.43,48.91,68.48,56.73,5494,9.55,45.91,4.37,7.49,0
78.55,3979,14.26,10.83,13.9,12.51,67.83,63.44,70.93,73.24,1595,6.75,62.81,2.32,8.89,0
93.83,1136,3.46,4.26,6.32,5.33,90.91,88.37,95.19,91.37,158,0.68,89.54,1.05,0.2,1
77.25,2529,17.07,8.03,10.35,9.33,57.91,53.04,70.26,47.25,732,8.18,43.52,3.91,2.68,1
89.66,4266,7.31,9.59,13.21,11.51,71.18,67.76,78.61,72.56,1478,3.36,63.9,2.39,4.01,1
38.93,2100,17.53,7.59,11.77,9.7,70.81,63.24,83.71,73.09,626,6.13,49.6,36.57,4.31,0
84.88,3766,23.23,15.07,18.71,16.93,61.46,55.24,54.09,65.67,697,4.59,57.72,7.91,9.68,0
96.08,706,3.87,6.29,8.41,7.42,81.08,78.41,91.22,80.11,114,0.93,68.92,1.97,0.22,1
50.46,9007,8.48,10.68,14.29,12.51,72.02,67.59,79.37,73.37,2818,3.48,64.16,9.25,3.05,0
74.46,5021,18.78,12.32,17.22,14.82,69.34,64.93,76.72,68.44,597,2.87,47.85,9.55,11.3,0
94.75,2582,17.44,13.4,16.96,15.27,66.58,63.44,72.64,66.73,143,1.1,58.24,3.25,5.88,0
76.09,4991,18.56,13.77,19.34,16.73,61.7,60.4,74.54,63.82,503,2.34,41.07,8.55,4.82,0
75.19,3777,12.61,10.48,14.5,12.67,69.89,65.05,75.22,76.26,970,4.33,64.1,2.95,6.92,0
76.14,50525,20,11.3,15.01,13.22,72.16,66.61,78.2,74.35,5773,2.76,59.5,9.39,9.23,0
96.57,1126,4.01,5.97,9.06,7.64,79.53,79.76,92.05,77.12,263,1.18,64.62,1.47,0.69,1
81.25,1406,19.37,5.38,7.16,6.34,60.91,55.86,84.29,55.8,314,6.54,37.83,1.47,4.56,1
95.84,3800,8.86,10.85,13.93,12.46,75.97,73.11,88.14,80.62,496,1.48,64,1.78,6.92,1
91.48,8334,19.83,15.39,17.15,16.34,61.07,56.51,63.26,64.5,2276,6.25,55.26,4.38,8.43,0
91.3,713,2.73,9.48,12.87,11.26,82.5,81.21,91.83,77.66,91,0.58,75.92,1.98,0.56,1
98.33,377,3.36,5.47,9.14,7.41,86.31,86.39,95.11,88.51,43,0.46,92.02,0.58,0.35,0
68.8,4746,34.58,9.7,14.48,12.35,60.23,55,62.73,65.41,1050,8.09,58.99,6.27,13.3,0
69.22,2542,6.68,11.37,16.73,14.22,69.39,67.27,82.6,65.9,772,3.27,56.33,8.5,0.59,0
90.82,595,1.99,7.53,10.71,9.21,84.86,83.56,96.07,80,112,0.56,84.8,0.64,0.3,1
96.5,1405,4.62,9.6,11.04,10.35,80.05,77.41,90.06,80.11,239,0.97,78.71,2.02,0.78,1
92.34,6465,21.12,11.18,15.7,13.61,61.82,59.36,65.51,72.07,1438,5.5,49.82,2.23,6.67,0
89.13,14452,15.59,10.16,13.35,11.85,68,65.35,71.42,72.26,3696,5.04,64.98,1.99,4.27,0
92.82,3639,7.77,11.74,15.43,13.64,76.49,73.84,86.33,76.04,648,2.1,75.71,4.32,2.97,0
79.75,11222,25.47,5.94,10.19,8.14,75.19,75.47,89.22,74.67,265,1.38,42.81,5.51,0.84,0
67.37,13026,22.49,13.27,16.2,14.77,49.12,41.09,58.62,41.54,3604,7.96,49.1,4.17,11.11,0
58.37,46480,26.53,15.52,19.24,17.53,49.22,43.22,51.14,48.38,15663,10.87,52.22,2.96,8.83,0
97.55,9604,10.78,8,10.48,9.3,79.61,79.37,90.56,79.96,543,0.77,77.88,2.99,1.19,0
56.53,32778,18.08,11.02,15.21,13.32,63.65,57.12,70.79,63.2,11465,7.93,62.01,4.57,5.46,1
84.78,1433,8.4,6.41,10.56,8.52,84.09,84.04,90.19,80.05,95,0.88,38.35,5.91,0.97,1
81.57,4562,9.89,10.56,11.94,11.32,66.1,58.7,77.97,60.51,1426,3.81,71.79,3.72,2.82,0
96.83,295,3.09,4.81,6.67,5.82,85.84,79.7,100,88.09,29,0.4,84.72,0.58,0.2,1
24.26,5346,23.66,6.45,10.05,8.26,70.47,61.53,68.64,76.11,1139,5.28,53.51,33.13,8.68,0
95.34,2112,18.98,10.48,12.63,11.62,71.96,72.64,76.2,78.41,218,2.5,57.84,2.65,6.95,1
97.86,175,1.37,4.22,6.58,5.42,88.61,88.02,97.32,88.31,37,0.38,91.56,0.7,0.16,1
87.35,3261,15.37,12.37,14.47,13.51,70.63,66.12,78.62,78.3,233,1.18,67.44,2.77,9.2,0
64.23,2176,15.47,12.13,15.1,13.7,67.31,61.95,81.17,69.96,328,2.83,71.71,4.53,8.64,1
87.91,1234,5.22,8.93,10.39,9.68,78.08,73.47,91.1,80.23,393,2.15,82.15,1.8,0.96,0
89.25,24137,12.89,11.82,14.8,13.43,68.94,65.93,75.05,73.44,5098,3.59,66.81,2.66,4.1,0
98.61,869,7.47,7.68,8.41,8.07,81.5,78.85,84.41,85.15,104,1.08,84.88,0.96,1.07,1
58.5,1162,4.93,9.68,12.81,11.36,70.37,67.79,86.83,72.46,607,3.18,85.93,2.75,1.16,0
94.74,1353,6.51,7.52,11.65,9.83,72.55,73.06,80,79.7,531,2.87,65.95,1.94,0.52,1
71.46,5512,43.13,7.89,12.84,10.6,63.83,56.55,69.14,66.1,666,5,63.79,11.92,13.44,0
81.1,644,5.73,9.44,11.36,10.43,72.69,68.97,82.6,73.23,336,4.16,55.95,4.11,3.63,1
96.49,599,4.18,7.56,9.85,8.76,79.07,77.17,93.3,79.05,39,0.32,86.03,1.5,0.63,1
52.96,3879,25.36,13.8,15.06,14.49,57.24,50.3,47.44,57.31,1336,9.17,60.02,4.94,11.78,0
89.69,2040,18.78,9.4,12.35,10.88,70.24,68.41,67.3,72.35,171,2.27,58.29,2.85,5.61,0
84.15,3500,29.11,10.54,15.08,13.01,67.42,61.49,70.05,67.58,130,1.19,55.27,3.17,15.75,0
51.71,19163,14.9,10.59,14.49,12.71,59.32,55.48,68.44,58.32,8027,9.34,47.91,3.05,6.32,0
87.88,1444,12.63,16.51,19.26,17.92,65.35,63.85,73.64,59.11,241,3.18,59.68,4.81,5.45,0
97.31,498,2.5,6.16,8.03,7.09,90.37,87.77,96.31,88.51,121,0.86,90.68,0.68,0.46,1
38.01,8604,25.56,11.75,15.19,13.59,48.49,44.54,40.69,53.74,3101,9.84,48.49,7.76,11.07,0
98.83,385,2.98,4.22,7.39,5.92,85.89,83.73,94.4,92.75,91,0.82,91.2,0.54,0,0
97.97,266,2.12,5.67,8.83,7.36,88.38,88.75,98.03,89.89,45,0.49,80,0.46,0.46,1
95.34,1447,4.78,9.7,13.09,11.53,76.36,74.31,85.99,78.44,307,1.26,79.07,0.8,0.69,1
93.6,1065,5.61,9.64,13.66,11.7,79.72,78.76,90.77,70.77,137,1.06,68.76,2.99,1.18,1
58.78,6785,11.61,8.67,12.35,10.54,73.32,61.81,78.73,82.25,2817,5.6,71.81,25.88,3.75,1
86.85,18603,13.61,9.22,13.39,11.25,73.62,72.11,82.8,76.96,2108,2.69,57.35,4.56,4.04,0
73.01,5739,10.91,9.91,12.84,11.5,67.22,60.81,73.21,68.94,2599,6.12,68.73,5.77,5.96,0
74.43,2275,22.09,8.84,11.14,10.07,74.23,68.94,82.62,74.2,175,1.87,60.48,7.94,12.15,0
59.96,7184,23.25,8.69,13.73,11.32,71.46,66.91,73.54,77.51,1131,4.43,54.23,21.55,5.57,0
94.07,6902,15.34,10.25,12.78,11.55,76.98,78.33,86.94,78.29,446,1.23,69.39,3.05,4.35,1
79.02,660,2.43,7.52,10.21,8.93,82.75,79.79,93.19,84.3,261,1.3,83.32,0.99,0.33,1
65.54,17451,16.12,10.05,12.97,11.56,63.73,57.18,70.54,63.06,6880,9.04,36.4,11.54,8.53,0
95.17,377,2.89,6.13,9.45,7.85,83.59,81.65,94.8,85.53,104,1.12,81.95,1.16,0.55,1
83.95,5332,12.5,14.46,17.13,15.89,63.78,59.36,67.86,68.34,2102,6.16,59.14,2.57,11.94,0
76.87,128886,25.32,8.69,14.05,11.54,72.19,65.81,79.82,73.7,16162,3.76,60.32,14.01,8.62,0
90.52,643,4.25,12.87,17.11,15,73.51,73.41,92.32,68.29,64,0.74,45.67,3.85,1.79,0
96.4,679,2.77,6.75,10.28,8.57,86.44,86.68,95.81,79.78,167,1.03,89.55,1.02,0.27,1
88.1,4550,19.34,11.55,13.87,12.69,69.13,67.37,74.7,72.91,444,2.26,58.7,4.27,6.03,0
61.64,16162,5.85,9.22,12.64,10.99,76.63,72.06,86.83,78.97,4841,2.52,62.91,11.59,0.81,1
85.15,12016,11.21,10.43,15.68,13.12,73.13,69.03,81.29,73.99,2453,3.27,50.88,10.22,2.65,0
90.35,575,3,5.75,7.24,6.55,88.77,86.26,97.92,85.01,71,0.53,84.42,0.46,0.23,1
93.96,299,2.78,7.91,8.83,8.37,87.14,84.34,94.63,89.64,145,2.19,89.02,1.45,0.55,1
76.92,10227,18.88,10.08,13.76,12.03,73.92,68.49,83.88,73.54,1147,2.58,59.81,7.56,10.44,0
91.73,8217,12.04,15.65,18.76,17.24,64.46,62.62,72.25,67.93,1882,3.71,47.76,4.72,4.57,0
72.35,2963,10.39,12.85,16.03,14.3,74.64,73.41,83.38,77.28,595,3.34,31.88,6.53,8.2,0
81.61,13999,20.87,12.56,15.9,14.39,62.98,58.23,65.59,60.85,2855,5,56.97,2.14,8.94,0
98.85,1204,11,7.88,10.2,9.14,78.26,78.61,75.3,87.16,141,1.39,78.51,0.78,2.08,0
53.52,313374,20.27,10.62,14.12,12.53,53.45,47.22,62.33,56.66,138864,11.53,66.55,4.69,4.25,1
96.35,273,1.82,2.98,5.37,4.23,91.9,90.65,98.01,89.54,35,0.31,93.27,0.38,0.36,1
95.5,1549,8.35,12.35,16.74,14.68,71.39,71.15,78.45,74.26,162,1.15,63.48,2.04,2.09,1
98.41,617,5.4,6.89,7.93,7.42,85.26,81.48,89.18,88.88,46,0.52,90.67,1.42,1.12,1
95.76,2649,10.66,12.44,16.58,14.59,67.97,66.86,76.61,71.16,499,2.79,71.03,2.69,3.51,0
91.86,4152,32.21,5.23,6.35,5.86,73.58,71.81,91.4,75.7,89,1.27,48.77,0.86,5.82,1
98.68,246,2.09,5.33,7.75,6.57,87.5,85.49,95.1,90.22,70,0.81,91.36,0.89,0.62,1
91.09,1535,13.58,10.51,13.87,12.27,68.69,64.59,67.71,75.76,287,3.08,67,1.8,7.75,1
97.51,2478,15.36,8.8,11.29,10.15,70.16,68.64,71.73,64.07,507,3.77,69.8,0.82,3.58,1
97.8,3489,9.57,8.32,10.54,9.53,76.36,76.57,80.96,79.88,510,1.64,68.6,1.35,2.24,0
87.99,1880,13.3,13.78,20.15,17.19,62.26,58.85,68.69,67.63,276,2.48,50.81,6.73,5.83,0
54.35,1031,5.55,8.52,13.52,11.14,75.53,71.39,90.73,75.76,498,3.79,72.09,1.34,0.86,0
97.74,1460,10.73,13.23,14.92,14.13,71.07,72.39,78.11,77.37,204,1.69,68.34,1.88,4.25,1
69.61,24793,17.11,16.19,17.29,16.74,56.97,49.93,64.9,57.06,8805,8.85,55.54,8.23,7.18,0
64.24,9015,20.67,16.33,18.45,17.43,50.83,42.46,54.58,58.55,3914,11.16,43.01,7.96,11.14,0
53.68,10591,29.23,13.83,17.42,15.73,46.08,36.72,49.83,41.25,3651,11.17,47.36,9.75,15.81,0
86.25,9869,13.8,12.11,14.93,13.61,74.27,71.7,81.56,79.91,1140,1.98,63.19,3.37,10.03,0
73.68,2105,16.73,9.42,13.61,11.67,70.49,65,82.68,73.36,286,2.49,61.02,3.01,11.73,1
63.79,75597,17.42,13.32,16.63,15.02,68.71,62.53,79.11,70.5,15913,4.94,57.17,7.88,9.28,0
50.57,4469,27.9,13,16.95,15.26,52.88,45.98,44.01,60.71,1170,7.32,58.15,4.7,15.29,0
